"Sexe"	"Commune de travail"	"1996 T4"	"1997 T4"	"1998 T4"	"1999 T4"	"2000 T4"	"2001 T4"	"2002 T4"	"2003 T4"	"2004 T4"	"2005 T4"	"2006 T4"	"2007 T4"	"2008 T4"	"2009 T4"	"2010 T4"	"2011 T4"	"2012 T4"	"2013 T4"	"2014 T4"
"Sexe - Total"	"……Ferreyres"	1.9	1.9	0.9	0.9	0.9	0.9	0.9	0.9	2.7	0.9	0.0	0.0	0.0	0.0	0.0	0.8	2.5	1.7	1.7
"Sexe - Total"	"……Gollion"	0.9	0.9	1.9	1.9	0.9	0.9	0.9	0.9	0.9	0.9	1.7	0.9	0.9	1.7	2.5	4.2	5.1	4.2	1.7
"Sexe - Total"	"……Grancy"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	3.4	2.5	2.5	2.5	3.3
"Sexe - Total"	"……L'Isle"	7.6	8.5	8.5	9.4	17.9	17.9	19.8	19.8	22.6	22.1	22.3	19.8	22.2	22.2	23.5	25.4	25.5	31.3	33.2
"Sexe - Total"	"……Lussery-Villars"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.8	0.8	0.8	0.8	1.7
"Sexe - Total"	"……Mauraz"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Mex (VD)"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	18.1	19.7	17.1	21.0	24.6	52.7	58.4	78.1
"Sexe - Total"	"……Moiry"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.8	0.8	0.8	0.0	0.0
"Sexe - Total"	"……Mont-la-Ville"	2.8	2.8	3.8	2.8	1.9	1.9	2.8	4.7	6.3	6.0	6.0	5.2	5.1	3.4	0.0	1.7	3.4	3.4	0.0
"Sexe - Total"	"……Montricher"	2.8	1.9	1.9	1.9	1.9	1.9	0.0	0.9	0.9	0.0	2.6	3.4	2.6	2.6	3.4	1.7	4.2	4.2	4.2
"Sexe - Total"	"……Orny"	2.8	1.9	1.9	5.7	5.7	5.7	6.6	7.5	6.3	5.1	3.4	5.2	5.1	14.5	15.1	17.0	19.5	19.5	17.4
"Sexe - Total"	"……Pampigny"	0.0	0.9	0.9	0.0	1.9	3.8	3.8	3.8	3.6	4.3	4.3	4.3	5.1	5.1	5.9	5.9	5.9	5.9	5.8
"Sexe - Total"	"……Penthalaz"	0.0	0.0	6.6	6.6	8.5	8.5	9.4	9.4	7.2	9.4	7.7	18.9	31.6	23.9	32.7	37.3	39.9	45.7	54.0
"Sexe - Total"	"……Penthaz"	0.0	0.0	0.0	0.0	0.0	3.8	2.8	2.8	2.7	3.4	4.3	7.7	10.3	10.2	12.6	15.3	20.4	18.6	19.1
